rank,primary_isbn13,rank_last_week,weeks_on_list,list_date,list_name,rank_change
20,9781250045447,0,0,2015-02-14,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,53,2015-02-21,combined-print-and-e-book-nonfiction,0
2,9780679603757,2,193,2015-02-21,combined-print-and-e-book-nonfiction,0
3,9780307957658,4,101,2015-02-21,combined-print-and-e-book-nonfiction,-1
4,9781101622742,3,40,2015-02-21,combined-print-and-e-book-nonfiction,1
5,9780805095159,5,20,2015-02-21,combined-print-and-e-book-nonfiction,0
6,9780805096682,6,22,2015-02-21,combined-print-and-e-book-nonfiction,0
7,9780307351920,0,1,2015-02-21,combined-print-and-e-book-nonfiction,7
8,9781594205873,8,2,2015-02-21,combined-print-and-e-book-nonfiction,0
9,9780062268341,10,17,2015-02-21,combined-print-and-e-book-nonfiction,-1
10,9780307952950,0,1,2015-02-21,combined-print-and-e-book-nonfiction,10
11,9781400205837,9,5,2015-02-21,combined-print-and-e-book-nonfiction,2
12,9781480449794,0,6,2015-02-21,combined-print-and-e-book-nonfiction,12
13,9780316007542,12,31,2015-02-21,combined-print-and-e-book-nonfiction,1
14,9780698145610,15,4,2015-02-21,combined-print-and-e-book-nonfiction,-1
15,9780062039880,0,1,2015-02-21,combined-print-and-e-book-nonfiction,15
16,9781400052189,0,0,2015-02-21,combined-print-and-e-book-nonfiction,16
17,9781476755717,0,0,2015-02-21,combined-print-and-e-book-nonfiction,17
18,9781400865123,0,0,2015-02-21,combined-print-and-e-book-nonfiction,18
19,9780385530002,0,0,2015-02-21,combined-print-and-e-book-nonfiction,19
20,9780770435639,0,0,2015-02-21,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,54,2015-02-28,combined-print-and-e-book-nonfiction,0
2,9780307957658,3,102,2015-02-28,combined-print-and-e-book-nonfiction,-1
3,9780679603757,2,194,2015-02-28,combined-print-and-e-book-nonfiction,1
4,9781101622742,4,41,2015-02-28,combined-print-and-e-book-nonfiction,0
5,9780805095159,5,21,2015-02-28,combined-print-and-e-book-nonfiction,0
6,9780062295897,0,1,2015-02-28,combined-print-and-e-book-nonfiction,6
7,9780805096682,6,23,2015-02-28,combined-print-and-e-book-nonfiction,1
8,9780385539005,0,1,2015-02-28,combined-print-and-e-book-nonfiction,8
9,9781941393574,0,1,2015-02-28,combined-print-and-e-book-nonfiction,9
10,9780062268341,9,18,2015-02-28,combined-print-and-e-book-nonfiction,1
11,9780307351920,7,2,2015-02-28,combined-print-and-e-book-nonfiction,4
12,9780553380163,0,2,2015-02-28,combined-print-and-e-book-nonfiction,12
13,9781400205837,11,6,2015-02-28,combined-print-and-e-book-nonfiction,2
14,9781400865123,0,5,2015-02-28,combined-print-and-e-book-nonfiction,14
15,9781455527441,0,1,2015-02-28,combined-print-and-e-book-nonfiction,15
16,9780316007542,0,0,2015-02-28,combined-print-and-e-book-nonfiction,16
17,9780062379115,0,0,2015-02-28,combined-print-and-e-book-nonfiction,17
18,9780802123411,0,0,2015-02-28,combined-print-and-e-book-nonfiction,18
19,9781493013937,0,0,2015-02-28,combined-print-and-e-book-nonfiction,19
20,9781594205873,0,0,2015-02-28,combined-print-and-e-book-nonfiction,20
1,9780062376336,1,55,2015-03-07,combined-print-and-e-book-nonfiction,0
2,9781101622742,4,42,2015-03-07,combined-print-and-e-book-nonfiction,-2
3,9780307957658,2,103,2015-03-07,combined-print-and-e-book-nonfiction,1
4,9780679603757,3,195,2015-03-07,combined-print-and-e-book-nonfiction,1
5,9780805095159,5,22,2015-03-07,combined-print-and-e-book-nonfiction,0
6,9780802191670,0,1,2015-03-07,combined-print-and-e-book-nonfiction,6
7,9780805096682,7,24,2015-03-07,combined-print-and-e-book-nonfiction,0
8,9780062268341,10,19,2015-03-07,combined-print-and-e-book-nonfiction,-2
9,9781555848095,0,1,2015-03-07,combined-print-and-e-book-nonfiction,9
10,9780553380163,12,3,2015-03-07,combined-print-and-e-book-nonfiction,-2
11,9780062295897,6,2,2015-03-07,combined-print-and-e-book-nonfiction,5
12,9780316007542,0,32,2015-03-07,combined-print-and-e-book-nonfiction,12
13,9780393244816,0,1,2015-03-07,combined-print-and-e-book-nonfiction,13
14,9780307352156,0,39,2015-03-07,combined-print-and-e-book-nonfiction,14
15,A00B007MNAROM,0,1,2015-03-07,combined-print-and-e-book-nonfiction,15
16,9780062199218,0,0,2015-03-07,combined-print-and-e-book-nonfiction,16
17,9780544272996,0,0,2015-03-07,combined-print-and-e-book-nonfiction,17
18,9780812981605,0,0,2015-03-07,combined-print-and-e-book-nonfiction,18
19,9780385539005,0,0,2015-03-07,combined-print-and-e-book-nonfiction,19
20,9780307351920,0,0,2015-03-07,combined-print-and-e-book-nonfiction,20
1,9780553446753,0,1,2015-03-14,combined-print-and-e-book-nonfiction,1
2,9780062376336,1,56,2015-03-14,combined-print-and-e-book-nonfiction,1
3,9781101622742,2,43,2015-03-14,combined-print-and-e-book-nonfiction,1
4,9780307957658,3,104,2015-03-14,combined-print-and-e-book-nonfiction,1
5,9780679603757,4,196,2015-03-14,combined-print-and-e-book-nonfiction,1
6,9780062355928,0,1,2015-03-14,combined-print-and-e-book-nonfiction,6
7,9780805095159,5,23,2015-03-14,combined-print-and-e-book-nonfiction,2
8,9780399174063,0,1,2015-03-14,combined-print-and-e-book-nonfiction,8
9,9780805096682,7,25,2015-03-14,combined-print-and-e-book-nonfiction,2
10,9780698158450,0,1,2015-03-14,combined-print-and-e-book-nonfiction,10
11,9780062268341,8,20,2015-03-14,combined-print-and-e-book-nonfiction,3
12,9780802123411,6,2,2015-03-14,combined-print-and-e-book-nonfiction,6
13,9781476769899,0,1,2015-03-14,combined-print-and-e-book-nonfiction,13
14,9780061959165,0,1,2015-03-14,combined-print-and-e-book-nonfiction,14
15,9781400076314,0,6,2015-03-14,combined-print-and-e-book-nonfiction,15
16,9781455527090,0,0,2015-03-14,combined-print-and-e-book-nonfiction,16
17,9780553380163,0,0,2015-03-14,combined-print-and-e-book-nonfiction,17
18,9780062074959,0,0,2015-03-14,combined-print-and-e-book-nonfiction,18
19,9781612308340,0,0,2015-03-14,combined-print-and-e-book-nonfiction,19
20,9780307589385,0,0,2015-03-14,combined-print-and-e-book-nonfiction,20
1,9780307408860,1,2,2015-03-21,combined-print-and-e-book-nonfiction,0
2,9780062376336,2,57,2015-03-21,combined-print-and-e-book-nonfiction,0
3,9780984504176,0,2,2015-03-21,combined-print-and-e-book-nonfiction,3
4,9781101622742,3,44,2015-03-21,combined-print-and-e-book-nonfiction,1
5,9780307957658,4,105,2015-03-21,combined-print-and-e-book-nonfiction,1
6,9780679603757,5,197,2015-03-21,combined-print-and-e-book-nonfiction,1
7,9780805095159,7,24,2015-03-21,combined-print-and-e-book-nonfiction,0
8,9780802123411,12,3,2015-03-21,combined-print-and-e-book-nonfiction,-4
9,9780804140867,0,9,2015-03-21,combined-print-and-e-book-nonfiction,9
10,9780062268341,11,21,2015-03-21,combined-print-and-e-book-nonfiction,-1
11,9780805096682,9,26,2015-03-21,combined-print-and-e-book-nonfiction,2
12,9780698158450,10,2,2015-03-21,combined-print-and-e-book-nonfiction,2
13,9780399174063,8,2,2015-03-21,combined-print-and-e-book-nonfiction,5
14,9780307452436,0,1,2015-03-21,combined-print-and-e-book-nonfiction,14
15,9781418525651,0,1,2015-03-21,combined-print-and-e-book-nonfiction,15
16,9780062265432,0,0,2015-03-21,combined-print-and-e-book-nonfiction,16
17,9780544272996,0,0,2015-03-21,combined-print-and-e-book-nonfiction,17
18,9781400076314,0,0,2015-03-21,combined-print-and-e-book-nonfiction,18
19,9780553380163,0,0,2015-03-21,combined-print-and-e-book-nonfiction,19
20,9780767922951,0,0,2015-03-21,combined-print-and-e-book-nonfiction,20
1,9780385347419,0,1,2015-03-28,combined-print-and-e-book-nonfiction,1
2,9780307408860,1,3,2015-03-28,combined-print-and-e-book-nonfiction,1
3,9780062376336,2,58,2015-03-28,combined-print-and-e-book-nonfiction,1
4,9781101622742,4,45,2015-03-28,combined-print-and-e-book-nonfiction,0
5,9780679603757,6,198,2015-03-28,combined-print-and-e-book-nonfiction,-1
