rank,primary_isbn13,rank_last_week,weeks_on_list,list_date,list_name,rank_change
20,9781477875568,0,0,2015-02-21,combined-print-and-e-book-fiction,20
1,9780698185395,1,7,2015-02-28,combined-print-and-e-book-fiction,0
2,9781460380406,0,1,2015-02-28,combined-print-and-e-book-fiction,2
3,9781612130590,3,60,2015-02-28,combined-print-and-e-book-fiction,0
4,9780804179621,0,1,2015-02-28,combined-print-and-e-book-fiction,4
5,9781250034502,0,1,2015-02-28,combined-print-and-e-book-fiction,5
6,9781612130293,2,79,2015-02-28,combined-print-and-e-book-fiction,4
7,9781612130613,4,57,2015-02-28,combined-print-and-e-book-fiction,3
8,9781476746609,5,24,2015-02-28,combined-print-and-e-book-fiction,3
9,9781940218380,0,1,2015-02-28,combined-print-and-e-book-fiction,9
10,9781439157039,14,7,2015-02-28,combined-print-and-e-book-fiction,-4
11,9781466850606,7,4,2015-02-28,combined-print-and-e-book-fiction,4
12,9781101874288,9,3,2015-02-28,combined-print-and-e-book-fiction,3
13,9780307588388,6,118,2015-02-28,combined-print-and-e-book-fiction,7
14,9780062316011,0,1,2015-02-28,combined-print-and-e-book-fiction,14
15,9780698138636,11,25,2015-02-28,combined-print-and-e-book-fiction,4
16,9781455588817,0,0,2015-02-28,combined-print-and-e-book-fiction,16
17,9780698186682,0,0,2015-02-28,combined-print-and-e-book-fiction,17
18,9780345541383,0,0,2015-02-28,combined-print-and-e-book-fiction,18
19,9780316211147,0,0,2015-02-28,combined-print-and-e-book-fiction,19
20,9781460380413,0,0,2015-02-28,combined-print-and-e-book-fiction,20
1,9780698185395,1,8,2015-03-07,combined-print-and-e-book-fiction,0
2,9780698184633,0,1,2015-03-07,combined-print-and-e-book-fiction,2
3,9781476746609,8,25,2015-03-07,combined-print-and-e-book-fiction,-5
4,9780698169678,0,1,2015-03-07,combined-print-and-e-book-fiction,4
5,9781612130590,3,61,2015-03-07,combined-print-and-e-book-fiction,2
6,9781466850606,11,5,2015-03-07,combined-print-and-e-book-fiction,-5
7,9781612130613,7,58,2015-03-07,combined-print-and-e-book-fiction,0
8,9781101874288,12,4,2015-03-07,combined-print-and-e-book-fiction,-4
9,9781612130293,6,80,2015-03-07,combined-print-and-e-book-fiction,3
10,9781439157039,10,8,2015-03-07,combined-print-and-e-book-fiction,0
11,9780307588388,13,119,2015-03-07,combined-print-and-e-book-fiction,-2
12,9780698164048,0,1,2015-03-07,combined-print-and-e-book-fiction,12
13,9780307271037,0,1,2015-03-07,combined-print-and-e-book-fiction,13
14,9780804179621,4,2,2015-03-07,combined-print-and-e-book-fiction,10
15,9781101636237,0,43,2015-03-07,combined-print-and-e-book-fiction,15
16,9781460380406,0,0,2015-03-07,combined-print-and-e-book-fiction,16
17,9781633500044,0,0,2015-03-07,combined-print-and-e-book-fiction,17
18,9780759524927,0,0,2015-03-07,combined-print-and-e-book-fiction,18
19,9781940218380,0,0,2015-03-07,combined-print-and-e-book-fiction,19
20,9781455520664,0,0,2015-03-07,combined-print-and-e-book-fiction,20
1,9780698185395,1,9,2015-03-14,combined-print-and-e-book-fiction,0
2,9780698184435,0,1,2015-03-14,combined-print-and-e-book-fiction,2
3,9780553391893,0,1,2015-03-14,combined-print-and-e-book-fiction,3
4,9781476746609,3,26,2015-03-14,combined-print-and-e-book-fiction,1
5,9781101874288,8,5,2015-03-14,combined-print-and-e-book-fiction,-3
6,9781466850606,6,6,2015-03-14,combined-print-and-e-book-fiction,0
7,9781612130590,5,62,2015-03-14,combined-print-and-e-book-fiction,2
8,9781455520664,0,18,2015-03-14,combined-print-and-e-book-fiction,8
9,9781476791463,0,1,2015-03-14,combined-print-and-e-book-fiction,9
10,9781476745077,0,1,2015-03-14,combined-print-and-e-book-fiction,10
11,9781439157039,10,9,2015-03-14,combined-print-and-e-book-fiction,1
12,9781612130613,7,59,2015-03-14,combined-print-and-e-book-fiction,5
13,9781612130293,9,81,2015-03-14,combined-print-and-e-book-fiction,4
14,9781101636237,15,44,2015-03-14,combined-print-and-e-book-fiction,-1
15,9780307588388,11,120,2015-03-14,combined-print-and-e-book-fiction,4
16,9780062200303,0,0,2015-03-14,combined-print-and-e-book-fiction,16
17,9780698169678,0,0,2015-03-14,combined-print-and-e-book-fiction,17
18,9780804179621,0,0,2015-03-14,combined-print-and-e-book-fiction,18
19,9781420133158,0,0,2015-03-14,combined-print-and-e-book-fiction,19
20,9780307459923,0,0,2015-03-14,combined-print-and-e-book-fiction,20
1,9780698185395,1,10,2015-03-21,combined-print-and-e-book-fiction,0
2,9780316284561,0,1,2015-03-21,combined-print-and-e-book-fiction,2
3,9781476746609,4,27,2015-03-21,combined-print-and-e-book-fiction,-1
4,9781455520664,8,19,2015-03-21,combined-print-and-e-book-fiction,-4
5,9780062220578,0,1,2015-03-21,combined-print-and-e-book-fiction,5
6,9781466850606,6,7,2015-03-21,combined-print-and-e-book-fiction,0
7,9781101874288,5,6,2015-03-21,combined-print-and-e-book-fiction,2
8,9780061750236,0,1,2015-03-21,combined-print-and-e-book-fiction,8
9,A00B00S5B70BS,0,1,2015-03-21,combined-print-and-e-book-fiction,9
10,9781101636237,14,45,2015-03-21,combined-print-and-e-book-fiction,-4
11,9781439157039,11,10,2015-03-21,combined-print-and-e-book-fiction,0
12,9781612130590,7,63,2015-03-21,combined-print-and-e-book-fiction,5
13,9780307588388,15,121,2015-03-21,combined-print-and-e-book-fiction,-2
14,9781612130613,12,60,2015-03-21,combined-print-and-e-book-fiction,2
15,A00B00UIPVOMK,0,1,2015-03-21,combined-print-and-e-book-fiction,15
16,9781612130293,0,0,2015-03-21,combined-print-and-e-book-fiction,16
17,A00B00UKLMFUC,0,0,2015-03-21,combined-print-and-e-book-fiction,17
18,9780698184435,0,0,2015-03-21,combined-print-and-e-book-fiction,18
19,9780307459923,0,0,2015-03-21,combined-print-and-e-book-fiction,19
20,9780553391893,0,0,2015-03-21,combined-print-and-e-book-fiction,20
1,9780698185395,1,11,2015-03-28,combined-print-and-e-book-fiction,0
2,9780698186200,0,1,2015-03-28,combined-print-and-e-book-fiction,2
3,9781455520664,4,20,2015-03-28,combined-print-and-e-book-fiction,-1
4,9780316284561,2,2,2015-03-28,combined-print-and-e-book-fiction,2
5,9781476746609,3,28,2015-03-28,combined-print-and-e-book-fiction,2
6,9781466850606,6,8,2015-03-28,combined-print-and-e-book-fiction,0
7,9781101874288,7,7,2015-03-28,combined-print-and-e-book-fiction,0
8,9781101636237,10,46,2015-03-28,combined-print-and-e-book-fiction,-2
9,A00B00S2TO9JY,0,1,2015-03-28,combined-print-and-e-book-fiction,9
10,9780307588388,13,122,2015-03-28,combined-print-and-e-book-fiction,-3
11,9781455521166,0,12,2015-03-28,combined-print-and-e-book-fiction,11
12,9780786036585,0,1,2015-03-28,combined-print-and-e-book-fiction,12
13,9781439157039,11,11,2015-03-28,combined-print-and-e-book-fiction,2
14,9780698184350,0,1,2015-03-28,combined-print-and-e-book-fiction,14
15,9781501101564,0,1,2015-03-28,combined-print-and-e-book-fiction,15
16,9781612130613,0,0,2015-03-28,combined-print-and-e-book-fiction,16
17,9781612130590,0,0,2015-03-28,combined-print-and-e-book-fiction,17
18,9780062351517,0,0,2015-03-28,combined-print-and-e-book-fiction,18
19,9780307387684,0,0,2015-03-28,combined-print-and-e-book-fiction,19
20,9780062101204,0,0,2015-03-28,combined-print-and-e-book-fiction,20
1,9780698185395,1,12,2015-04-04,combined-print-and-e-book-fiction,0
2,9781101602362,0,1,2015-04-04,combined-print-and-e-book-fiction,2
3,9780698186200,2,2,2015-04-04,combined-print-and-e-book-fiction,1
4,9781466862609,0,1,2015-04-04,combined-print-and-e-book-fiction,4
5,9781466854222,0,1,2015-04-04,combined-print-and-e-book-fiction,5
6,9781455520664,3,21,2015-04-04,combined-print-and-e-book-fiction,3
7,9781476746609,5,29,2015-04-04,combined-print-and-e-book-fiction,2
8,9780316284561,4,3,2015-04-04,combined-print-and-e-book-fiction,4
9,9780812997897,0,1,2015-04-04,combined-print-and-e-book-fiction,9
10,9781466850606,6,9,2015-04-04,combined-print-and-e-book-fiction,4
11,9780062223920,0,1,2015-04-04,combined-print-and-e-book-fiction,11
12,9781101636237,8,47,2015-04-04,combined-print-and-e-book-fiction,4
13,9780804177474,0,1,2015-04-04,combined-print-and-e-book-fiction,13
14,9781101874288,7,8,2015-04-04,combined-print-and-e-book-fiction,7
15,9780440335160,0,13,2015-04-04,combined-print-and-e-book-fiction,15
16,9781940499192,0,0,2015-04-04,combined-print-and-e-book-fiction,16
17,9781460380543,0,0,2015-04-04,combined-print-and-e-book-fiction,17
18,9780307588388,0,0,2015-04-04,combined-print-and-e-book-fiction,18
19,9781439157039,0,0,2015-04-04,combined-print-and-e-book-fiction,19
20,9781455574490,0,0,2015-04-04,combined-print-and-e-book-fiction,20
1,9780698185395,1,13,2015-04-11,combined-print-and-e-book-fiction,0
2,9781455520664,6,22,2015-04-11,combined-print-and-e-book-fiction,-4
3,9780698154162,0,1,2015-04-11,combined-print-and-e-book-fiction,3
4,9780698186200,3,3,2015-04-11,combined-print-and-e-book-fiction,1
5,9781476746609,7,30,2015-04-11,combined-print-and-e-book-fiction,-2
6,9781466850606,10,10,2015-04-11,combined-print-and-e-book-fiction,-4
7,9780316284561,8,4,2015-04-11,combined-print-and-e-book-fiction,-1
8,9780440335160,15,14,2015-04-11,combined-print-and-e-book-fiction,-7
9,9781101589809,0,1,2015-04-11,combined-print-and-e-book-fiction,9
10,9781476776101,0,1,2015-04-11,combined-print-and-e-book-fiction,10
11,9780802191830,0,1,2015-04-11,combined-print-and-e-book-fiction,11
12,9781938127595,0,1,2015-04-11,combined-print-and-e-book-fiction,12
13,9781101638460,0,1,2015-04-11,combined-print-and-e-book-fiction,13
14,9780698191785,0,1,2015-04-11,combined-print-and-e-book-fiction,14
15,9781101636237,12,48,2015-04-11,combined-print-and-e-book-fiction,3
16,9781451687514,0,0,2015-04-11,combined-print-and-e-book-fiction,16
17,9780316055444,0,0,2015-04-11,combined-print-and-e-book-fiction,17
18,9780316410960,0,0,2015-04-11,combined-print-and-e-book-fiction,18
19,9781101636220,0,0,2015-04-11,combined-print-and-e-book-fiction,19
20,9781101874288,0,0,2015-04-11,combined-print-and-e-book-fiction,20
1,9780698161351,0,1,2015-04-18,combined-print-and-e-book-fiction,1
2,9780698185395,1,14,2015-04-18,combined-print-and-e-book-fiction,1
3,9780698186200,4,4,2015-04-18,combined-print-and-e-book-fiction,-1
4,9781455520664,2,23,2015-04-18,combined-print-and-e-book-fiction,2
5,9781466874619,0,1,2015-04-18,combined-print-and-e-book-fiction,5
6,9781476746609,5,31,2015-04-18,combined-print-and-e-book-fiction,1
7,9781476778013,0,1,2015-04-18,combined-print-and-e-book-fiction,7
8,9781466850606,6,11,2015-04-18,combined-print-and-e-book-fiction,2
9,9780440335160,8,15,2015-04-18,combined-print-and-e-book-fiction,1
10,A00B00VNAB1MW,0,1,2015-04-18,combined-print-and-e-book-fiction,10
11,9780316284561,7,5,2015-04-18,combined-print-and-e-book-fiction,4
12,9780345541802,0,1,2015-04-18,combined-print-and-e-book-fiction,12
13,9780812997897,0,2,2015-04-18,combined-print-and-e-book-fiction,13
14,9781101636237,15,49,2015-04-18,combined-print-and-e-book-fiction,-1
15,9780698154162,3,2,2015-04-18,combined-print-and-e-book-fiction,12
16,9780316055444,0,0,2015-04-18,combined-print-and-e-book-fiction,16
17,9781101874288,0,0,2015-04-18,combined-print-and-e-book-fiction,17
18,9781466867833,0,0,2015-04-18,combined-print-and-e-book-fiction,18
19,9781942295082,0,0,2015-04-18,combined-print-and-e-book-fiction,19
20,9780345495303,0,0,2015-04-18,combined-print-and-e-book-fiction,20
1,9781455586387,0,1,2015-04-25,combined-print-and-e-book-fiction,1
2,9780698185395,2,15,2015-04-25,combined-print-and-e-book-fiction,0
3,9780062311146,0,1,2015-04-25,combined-print-and-e-book-fiction,3
4,9781476746609,6,32,2015-04-25,combined-print-and-e-book-fiction,-2
5,9780698161351,1,2,2015-04-25,combined-print-and-e-book-fiction,4
6,9780698186200,3,5,2015-04-25,combined-print-and-e-book-fiction,3
7,9781101621042,0,1,2015-04-25,combined-print-and-e-book-fiction,7
8,9781455520664,4,24,2015-04-25,combined-print-and-e-book-fiction,4
9,9780307594174,0,1,2015-04-25,combined-print-and-e-book-fiction,9
10,9781466850606,8,12,2015-04-25,combined-print-and-e-book-fiction,2
11,9780440335160,9,16,2015-04-25,combined-print-and-e-book-fiction,2
12,9781466874619,5,2,2015-04-25,combined-print-and-e-book-fiction,7
13,9780062333087,0,1,2015-04-25,combined-print-and-e-book-fiction,13
14,9780698403871,0,1,2015-04-25,combined-print-and-e-book-fiction,14
15,9780307460202,0,2,2015-04-25,combined-print-and-e-book-fiction,15
16,9780316055444,0,0,2015-04-25,combined-print-and-e-book-fiction,16
17,9781101636237,0,0,2015-04-25,combined-print-and-e-book-fiction,17
18,9780812997897,0,0,2015-04-25,combined-print-and-e-book-fiction,18
19,9780316284561,0,0,2015-04-25,combined-print-and-e-book-fiction,19
20,9781942295099,0,0,2015-04-25,combined-print-and-e-book-fiction,20
1,9780698152519,0,1,2015-05-02,combined-print-and-e-book-fiction,1
2,9780698185395,2,16,2015-05-02,combined-print-and-e-book-fiction,0
